"Código Impuesto","Código Régimen","Código Condición"
767,629,"00"
767,660,"00"
767,660,"00"
767,678,"00"
767,678,"00"
767,686,"01"
767,686,"02"
767,687,"02"
767,687,"01"
767,688,"02"
767,688,"01"
767,689,"00"
767,690,"00"
217,691,"02"
217,691,"01"
767,703,"01"
767,703,"03"
767,704,"01"
767,704,"03"
767,705,"01"
767,705,"03"
767,706,"01"
767,706,"03"
767,707,"01"
767,707,"03"
767,708,"01"
767,708,"03"
217,712,"01"
217,712,"02"
219,713,"01"
219,713,"02"
787,718,"01"
767,721,"00"
767,722,"00"
767,723,"00"
767,724,"00"
767,725,"00"
767,726,"00"
767,727,"00"
767,728,"00"
767,729,"00"
217,730,"00"
217,731,"00"
217,732,"00"
219,760,"01"
219,760,"02"
217,775,"00"
767,777,"00"
217,779,"01"
217,779,"02"
217,780,"01"
217,780,"02"
217,798,"01"
217,798,"02"
219,801,"01"
219,801,"02"
217,802,"01"
217,802,"02"
767,805,"01"
767,806,"01"
767,807,"03"
217,818,"00"
767,831,"01"
767,831,"02"
767,831,"01"
767,831,"02"
767,838,"01"
767,839,"01"
767,840,"01"
767,841,"01"
767,842,"03"
217,843,"01"
217,844,"01"
217,845,"01"
217,846,"01"
217,847,"03"
767,848,"01"
767,849,"01"
767,850,"01"
767,851,"01"
767,852,"01"
767,853,"03"
217,854,"00"
217,858,"00"
217,858,"01"
217,858,"02"
217,861,"00"
217,862,"00"
217,864,"01"
217,872,"01"
217,872,"02"
217,873,"01"
217,873,"02"
217,874,"01"
217,874,"02"
217,875,"01"
217,875,"02"
219,892,"01"
219,892,"02"
217,893,"01"
217,893,"02"
219,905,"01"
219,905,"02"
217,906,"01"
217,906,"02"
219,907,"01"
219,907,"02"
217,908,"01"
217,908,"02"
767,925,"00"
767,926,"01"
767,956,"00"
1027,964,"00"
217,965,"00"
767,966,"00"
5109,982,"00"
939,988,"00"
939,989,"00"
939,990,"00"
939,991,"00"
939,992,"00"
939,993,"00"
